alpha,cos_dist,top1_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.9107142857142857
0.05,0.2991211798574243,0.7,0.9214285714285714
0.1,0.2689667430307184,0.725,0.9285714285714286
0.15000000000000002,0.24670267594712122,0.7357142857142858,0.9285714285714286
0.2,0.23212130665779113,0.7464285714285714,0.95
0.25,0.22426240401608602,0.7678571428571429,0.9428571428571428
0.30000000000000004,0.22483748154980795,0.7535714285714286,0.9285714285714286
0.35000000000000003,0.22672764382192068,0.7607142857142857,0.9178571428571428
0.4,0.23324926495552062,0.7428571428571429,0.9178571428571428
0.45,0.23383796928184372,0.725,0.9071428571428571
0.5,0.24209668785333632,0.7357142857142858,0.9178571428571428
