beta,cos_dist,top1_acc,top3_acc
0.0,0.226682000713689,0.7642857142857142,0.9428571428571428
0.01,0.23003819286823274,0.7642857142857142,0.9392857142857143
0.02,0.2343077316880226,0.7678571428571429,0.9464285714285714
0.03,0.24015648726906094,0.7571428571428571,0.9428571428571428
0.04,0.24598938769527845,0.7714285714285715,0.9428571428571428
0.05,0.2541823173207896,0.7607142857142857,0.9428571428571428
0.06,0.26403948473078864,0.7142857142857143,0.9285714285714286
0.07,0.27258453145623207,0.7678571428571429,0.9464285714285714
0.08,0.2827672873224531,0.7607142857142857,0.9464285714285714
0.09,0.2922343470156193,0.7285714285714285,0.9321428571428572
0.1,0.30417860352567266,0.7214285714285714,0.9285714285714286
