context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20476879860673633,0.75,0.8714285714285714,0.9392857142857143
2,0.23124774949891228,0.7642857142857142,0.9178571428571428,0.9607142857142857
3,0.23393313735723495,0.75,0.8928571428571429,0.9464285714285714
4,0.2313290740762438,0.7678571428571429,0.8857142857142857,0.9428571428571428
5,0.22895423110042298,0.7535714285714286,0.8892857142857142,0.9357142857142857
6,0.22418931701353617,0.75,0.8857142857142857,0.9321428571428572
7,0.21977698909384863,0.7571428571428571,0.8964285714285715,0.9321428571428572
8,0.21705654327358517,0.7571428571428571,0.8785714285714286,0.9357142857142857
9,0.2148606498326574,0.75,0.8821428571428571,0.9321428571428572
10,0.21268291409526552,0.7535714285714286,0.8857142857142857,0.9392857142857143
