beta,cos_dist,top1_acc,top3_acc
0.0,0.22424788177013397,0.75,0.95
0.01,0.22660471733127321,0.7571428571428571,0.9571428571428572
0.02,0.23737413340381214,0.7642857142857142,0.95
0.03,0.24355135474886214,0.7571428571428571,0.9464285714285714
0.04,0.24564468945775714,0.7642857142857142,0.9428571428571428
0.05,0.2528246771012034,0.7678571428571429,0.9321428571428572
0.06,0.26303972250648905,0.7607142857142857,0.925
0.07,0.2726744018495083,0.7607142857142857,0.9321428571428572
0.08,0.28094240107706614,0.7678571428571429,0.95
0.09,0.29136553928256037,0.7428571428571429,0.925
0.1,0.3043004513851234,0.7214285714285714,0.9285714285714286
