beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22477423697710036,0.7535714285714286,0.9071428571428571,0.9535714285714286
0.01,0.23022868122373308,0.7714285714285715,0.9035714285714286,0.95
0.02,0.23465489681277957,0.7928571428571428,0.9035714285714286,0.9571428571428572
0.03,0.24302932513611658,0.7535714285714286,0.8892857142857142,0.9357142857142857
0.04,0.24606758153864317,0.8178571428571428,0.9,0.9428571428571428
0.05,0.2557435331600053,0.7571428571428571,0.9035714285714286,0.9428571428571428
0.06,0.26291975932461875,0.7642857142857142,0.8892857142857142,0.9321428571428572
0.07,0.27304288340466365,0.7285714285714285,0.875,0.9428571428571428
0.08,0.2797385375414576,0.7607142857142857,0.9,0.9535714285714286
0.09,0.2911230742931366,0.75,0.8857142857142857,0.9321428571428572
0.1,0.30381707389439855,0.725,0.8714285714285714,0.9142857142857143
