beta,cos_dist,top1_acc,top3_acc
0.0,0.22327585752521242,0.775,0.9464285714285714
0.01,0.22999423359121596,0.7642857142857142,0.9464285714285714
0.02,0.23555556014180185,0.7678571428571429,0.9392857142857143
0.03,0.2399174207023212,0.7678571428571429,0.9464285714285714
0.04,0.2476168484560081,0.7892857142857143,0.9535714285714286
0.05,0.25583330328975407,0.7464285714285714,0.9464285714285714
0.06,0.2600696521145957,0.7821428571428571,0.9464285714285714
0.07,0.2717230077300753,0.775,0.9428571428571428
0.08,0.279894532263279,0.775,0.9535714285714286
0.09,0.2905199803411961,0.7714285714285715,0.9464285714285714
0.1,0.3014477363654545,0.7785714285714286,0.9428571428571428
