alpha,cos_dist,top1_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.9107142857142857
0.05,0.2992326430976391,0.6928571428571428,0.9214285714285714
0.1,0.26909791358879637,0.7321428571428571,0.9285714285714286
0.15000000000000002,0.2461612839783941,0.7464285714285714,0.9357142857142857
0.2,0.23193406994853702,0.7535714285714286,0.9464285714285714
0.25,0.2244072505405971,0.7642857142857142,0.95
0.30000000000000004,0.224472890155656,0.7571428571428571,0.9357142857142857
0.35000000000000003,0.225140794473035,0.7535714285714286,0.9285714285714286
0.4,0.23455580196210316,0.7464285714285714,0.9178571428571428
0.45,0.24114475111876216,0.7285714285714285,0.9142857142857143
0.5,0.24734919943979808,0.6928571428571428,0.8892857142857142
