context,cos_dist,top1_acc,top3_acc
1,0.20404669770172665,0.7464285714285714,0.9357142857142857
2,0.23037463958774293,0.7642857142857142,0.95
3,0.23263685362679618,0.7464285714285714,0.9464285714285714
4,0.2310446302805628,0.7428571428571429,0.9357142857142857
5,0.22840448319911957,0.75,0.9321428571428572
6,0.22315973469189235,0.7535714285714286,0.9357142857142857
7,0.22065971940755844,0.7535714285714286,0.9428571428571428
8,0.21679402611085347,0.7678571428571429,0.9321428571428572
9,0.2145580195954868,0.725,0.9357142857142857
10,0.21311328815562383,0.75,0.9321428571428572
