beta,cos_dist,top1_acc,top3_acc
0.0,0.22486604494707926,0.7535714285714286,0.9428571428571428
0.01,0.22984947221619742,0.775,0.9285714285714286
0.02,0.2340248648609434,0.775,0.95
0.03,0.23948097079992295,0.7571428571428571,0.9464285714285714
0.04,0.2468487089233739,0.7607142857142857,0.9392857142857143
0.05,0.2546877145767212,0.7357142857142858,0.9464285714285714
0.06,0.26214497877018794,0.7571428571428571,0.9464285714285714
0.07,0.2730595316205706,0.7464285714285714,0.9178571428571428
0.08,0.2829509685082095,0.7428571428571429,0.9357142857142857
0.09,0.29065452686377935,0.7821428571428571,0.95
0.1,0.2986589516912188,0.7785714285714286,0.9464285714285714
