beta,cos_dist,top1_acc,top3_acc
0.0,0.22531125630651203,0.775,0.95
0.01,0.23010162051234925,0.7785714285714286,0.9428571428571428
0.02,0.23515813116516385,0.7571428571428571,0.9357142857142857
0.03,0.24028592758945055,0.7571428571428571,0.9428571428571428
0.04,0.2471246606537274,0.7571428571428571,0.9464285714285714
0.05,0.2526871490691389,0.7607142857142857,0.9428571428571428
0.06,0.2644301275057452,0.7392857142857143,0.9285714285714286
0.07,0.27068697033183914,0.7785714285714286,0.9428571428571428
0.08,0.2790253975561687,0.7785714285714286,0.9357142857142857
0.09,0.29116715703691753,0.75,0.9428571428571428
0.1,0.3003093770572117,0.7428571428571429,0.9392857142857143
