alpha,cos_dist,top1_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.9107142857142857
0.05,0.2991714389196464,0.7,0.9214285714285714
0.1,0.2687240461153643,0.7285714285714285,0.9321428571428572
0.15000000000000002,0.24703859388828278,0.7392857142857143,0.9357142857142857
0.2,0.23197011394160136,0.7464285714285714,0.95
0.25,0.2260925001331738,0.7642857142857142,0.9428571428571428
0.30000000000000004,0.2225744353873389,0.7678571428571429,0.9464285714285714
0.35000000000000003,0.22778993674686976,0.7607142857142857,0.9178571428571428
0.4,0.2277935623058251,0.7535714285714286,0.925
0.45,0.2369666452918734,0.7321428571428571,0.9107142857142857
0.5,0.2460617296397686,0.6678571428571428,0.9178571428571428
