context,cos_dist,top1_acc,top3_acc
1,0.20526370022978102,0.7392857142857143,0.9178571428571428
2,0.23117713779211044,0.7535714285714286,0.9535714285714286
3,0.23312389765466962,0.7535714285714286,0.9464285714285714
4,0.2308764453445162,0.7571428571428571,0.9428571428571428
5,0.22770462312868664,0.7357142857142858,0.9214285714285714
6,0.22349929916007177,0.7464285714285714,0.9285714285714286
7,0.22008648323161262,0.7642857142857142,0.9428571428571428
8,0.21584271426711762,0.7535714285714286,0.925
9,0.21278687374932426,0.7535714285714286,0.9357142857142857
10,0.2121727025934628,0.7464285714285714,0.9357142857142857
