beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22481377954993928,0.7607142857142857,0.8964285714285715,0.95
0.01,0.22976296139614924,0.7642857142857142,0.9,0.9392857142857143
0.02,0.2339342100279672,0.7392857142857143,0.8785714285714286,0.9464285714285714
0.03,0.24016191895518985,0.7678571428571429,0.9142857142857143,0.95
0.04,0.24673959591559003,0.7678571428571429,0.8821428571428571,0.9464285714285714
0.05,0.2550670070307595,0.7535714285714286,0.8964285714285715,0.9285714285714286
0.06,0.26161870775478224,0.7607142857142857,0.8821428571428571,0.9357142857142857
0.07,0.26954684151070457,0.7642857142857142,0.9107142857142857,0.9678571428571429
0.08,0.2808244528514998,0.7321428571428571,0.8892857142857142,0.9392857142857143
0.09,0.29176991528698376,0.7464285714285714,0.8857142857142857,0.9357142857142857
0.1,0.29961794753159793,0.7571428571428571,0.8821428571428571,0.9357142857142857
