context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.20447243345635277,0.7464285714285714,0.8678571428571429,0.9285714285714286
2,0.2313105313905648,0.7571428571428571,0.9142857142857143,0.9607142857142857
3,0.23142790262188231,0.7714285714285715,0.9035714285714286,0.95
4,0.2310196910585676,0.7642857142857142,0.8678571428571429,0.9357142857142857
5,0.22961548460381373,0.7428571428571429,0.8821428571428571,0.9321428571428572
6,0.22327264483485904,0.7535714285714286,0.8892857142857142,0.9285714285714286
7,0.22093140184879304,0.75,0.8964285714285715,0.9285714285714286
8,0.21640656462737493,0.7678571428571429,0.8857142857142857,0.9321428571428572
9,0.2137906789779663,0.7607142857142857,0.8821428571428571,0.9357142857142857
10,0.21046160629817418,0.7607142857142857,0.8892857142857142,0.9285714285714286
