beta,cos_dist,top1_acc,top3_acc
0.0,0.22573282846382686,0.75,0.9464285714285714
0.01,0.22817949610097069,0.7571428571428571,0.9428571428571428
0.02,0.2355588231767927,0.7571428571428571,0.9428571428571428
0.03,0.2423859973038946,0.7678571428571429,0.9285714285714286
0.04,0.2467869222164154,0.75,0.9392857142857143
0.05,0.2557442744927747,0.7428571428571429,0.9464285714285714
0.06,0.2614588693848678,0.7607142857142857,0.9285714285714286
0.07,0.2713401726314,0.7607142857142857,0.95
0.08,0.2790664596217019,0.7464285714285714,0.9607142857142857
0.09,0.2905257971159049,0.7678571428571429,0.9428571428571428
0.1,0.305110964179039,0.7357142857142858,0.9392857142857143
