beta,cos_dist,top1_acc,top3_acc
0.0,0.2262198914374624,0.7535714285714286,0.9214285714285714
0.01,0.22519124831472123,0.7714285714285715,0.95
0.02,0.23349105779613769,0.7714285714285715,0.9392857142857143
0.03,0.24183689068470682,0.7571428571428571,0.95
0.04,0.24868428111076354,0.7678571428571429,0.9321428571428572
0.05,0.2560793393424579,0.775,0.9178571428571428
0.06,0.2620973449732576,0.775,0.95
0.07,0.27175468685371534,0.7642857142857142,0.9428571428571428
0.08,0.28133912884763307,0.7571428571428571,0.9285714285714286
0.09,0.29166837739092966,0.775,0.95
0.1,0.3007877971444811,0.7642857142857142,0.9428571428571428
