beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22676041168825967,0.7642857142857142,0.8892857142857142,0.9428571428571428
0.01,0.23036662553037915,0.7857142857142857,0.9035714285714286,0.9464285714285714
0.02,0.23480518949883325,0.775,0.9071428571428571,0.9428571428571428
0.03,0.2396078391798905,0.7857142857142857,0.9,0.95
0.04,0.24888220791305815,0.7535714285714286,0.8821428571428571,0.9357142857142857
0.05,0.2556125233215945,0.7678571428571429,0.8821428571428571,0.9392857142857143
0.06,0.26508262029715945,0.7571428571428571,0.8892857142857142,0.9464285714285714
0.07,0.270580896203007,0.7678571428571429,0.8678571428571429,0.9321428571428572
0.08,0.28243137927992,0.7535714285714286,0.8964285714285715,0.9428571428571428
0.09,0.2923216907041413,0.7571428571428571,0.9035714285714286,0.9535714285714286
0.1,0.30017018328819955,0.725,0.8678571428571429,0.925
