context,cos_dist,top1_acc,top3_acc
1,0.20576353520154952,0.7392857142857143,0.9321428571428572
2,0.22982110061815808,0.7642857142857142,0.9642857142857143
3,0.2320146328636578,0.7571428571428571,0.95
4,0.2310372156756265,0.75,0.9464285714285714
5,0.2281429016164371,0.7571428571428571,0.9321428571428572
6,0.2240340511713709,0.7321428571428571,0.9285714285714286
7,0.2213291442820004,0.7571428571428571,0.9285714285714286
8,0.2160794245345252,0.7785714285714286,0.9357142857142857
9,0.2124193617275783,0.7714285714285715,0.9357142857142857
10,0.21243596843310764,0.7642857142857142,0.9285714285714286
