context,cos_dist,top1_acc,top3_acc
1,0.20576204657554625,0.7535714285714286,0.9392857142857143
2,0.23055099036012378,0.7464285714285714,0.9535714285714286
3,0.23202807882002421,0.7535714285714286,0.95
4,0.2306214935013226,0.7678571428571429,0.9392857142857143
5,0.22872127933161598,0.7571428571428571,0.925
6,0.22394871030535016,0.75,0.925
7,0.2207686539207186,0.7571428571428571,0.9357142857142857
8,0.21646550191300257,0.775,0.9357142857142857
9,0.213671327488763,0.7571428571428571,0.9285714285714286
10,0.2122913305248533,0.7535714285714286,0.9428571428571428
