beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22477556020021439,0.7642857142857142,0.875,0.9392857142857143
0.01,0.23024488921676364,0.7571428571428571,0.9,0.9571428571428572
0.02,0.23572877219745092,0.7785714285714286,0.9107142857142857,0.95
0.03,0.2398586522255625,0.775,0.9178571428571428,0.9428571428571428
0.04,0.24669363381607193,0.7571428571428571,0.9142857142857143,0.9535714285714286
0.05,0.2544373639992305,0.7857142857142857,0.9035714285714286,0.9428571428571428
0.06,0.2622885891369411,0.7821428571428571,0.8642857142857143,0.925
0.07,0.27119623944163324,0.7535714285714286,0.8928571428571429,0.9428571428571428
0.08,0.2829752380294459,0.7607142857142857,0.8892857142857142,0.9428571428571428
0.09,0.2940712803176471,0.7428571428571429,0.8642857142857143,0.9321428571428572
0.1,0.29883553736976215,0.7392857142857143,0.8892857142857142,0.9392857142857143
