beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22486249591623034,0.7607142857142857,0.8964285714285715,0.9464285714285714
0.01,0.2293516503913062,0.7642857142857142,0.9035714285714286,0.9535714285714286
0.02,0.23415860129254204,0.7714285714285715,0.8928571428571429,0.9464285714285714
0.03,0.24119232233081545,0.7678571428571429,0.9035714285714286,0.9571428571428572
0.04,0.2466111288539001,0.7821428571428571,0.9178571428571428,0.95
0.05,0.25453530166830335,0.7714285714285715,0.8785714285714286,0.9357142857142857
0.06,0.26421766472714286,0.7571428571428571,0.9107142857142857,0.9464285714285714
0.07,0.271460337298257,0.7714285714285715,0.8928571428571429,0.9464285714285714
0.08,0.28329613751598764,0.7214285714285714,0.8714285714285714,0.9285714285714286
0.09,0.291588501312903,0.7178571428571429,0.8785714285714286,0.9321428571428572
0.1,0.2999593836920602,0.7785714285714286,0.875,0.9392857142857143
