alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.29912368538124223,0.6964285714285714,0.8642857142857143,0.9214285714285714
0.1,0.26914474463888577,0.7321428571428571,0.8714285714285714,0.9285714285714286
0.15000000000000002,0.2469269145812307,0.7428571428571429,0.8785714285714286,0.925
0.2,0.23171351424285344,0.7642857142857142,0.8964285714285715,0.95
0.25,0.22555907134498868,0.7607142857142857,0.9,0.9392857142857143
0.30000000000000004,0.22551801523991993,0.7535714285714286,0.8821428571428571,0.9321428571428572
0.35000000000000003,0.23148045816591808,0.7357142857142858,0.8642857142857143,0.9071428571428571
0.4,0.2306683739381177,0.7178571428571429,0.8714285714285714,0.9464285714285714
0.45,0.24282735139131545,0.6821428571428572,0.825,0.8714285714285714
0.5,0.24409161263278553,0.7035714285714286,0.825,0.8857142857142857
