context,cos_dist,top1_acc,top3_acc
1,0.20624972134828568,0.7392857142857143,0.9285714285714286
2,0.23084528850657599,0.7714285714285715,0.9571428571428572
3,0.2325662953513009,0.7571428571428571,0.9464285714285714
4,0.23097311577626636,0.75,0.9357142857142857
5,0.2290553046124322,0.7714285714285715,0.9321428571428572
6,0.22434406067643847,0.7571428571428571,0.925
7,0.21818653025797435,0.7678571428571429,0.9392857142857143
8,0.21674113656793323,0.7785714285714286,0.9321428571428572
9,0.21270239608628408,0.75,0.9321428571428572
10,0.21244317825351441,0.7571428571428571,0.9285714285714286
