beta,cos_dist,top1_acc,top3_acc
0.0,0.2238424809915679,0.7642857142857142,0.9428571428571428
0.01,0.22998730966023037,0.7714285714285715,0.9321428571428572
0.02,0.23484070364918028,0.7607142857142857,0.9392857142857143
0.03,0.24314647795898572,0.75,0.9392857142857143
0.04,0.24949825310281346,0.7321428571428571,0.9321428571428572
0.05,0.25377054714730807,0.7714285714285715,0.9535714285714286
0.06,0.2670302912592888,0.7535714285714286,0.9321428571428572
0.07,0.2733389439327376,0.7571428571428571,0.9357142857142857
0.08,0.28130092333470075,0.7357142857142858,0.9357142857142857
0.09,0.2903733144913401,0.7571428571428571,0.9178571428571428
0.1,0.30002272256783075,0.75,0.9464285714285714
