beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.2253922238945961,0.775,0.8928571428571429,0.9357142857142857
0.01,0.2301910068307604,0.7428571428571429,0.8928571428571429,0.9535714285714286
0.02,0.2362134058560644,0.7392857142857143,0.8964285714285715,0.9392857142857143
0.03,0.24182895837085588,0.7607142857142857,0.8785714285714286,0.9357142857142857
0.04,0.24430306181311606,0.7857142857142857,0.9142857142857143,0.95
0.05,0.25390691278236255,0.7857142857142857,0.9,0.9428571428571428
0.06,0.262269995787314,0.7571428571428571,0.8714285714285714,0.9285714285714286
0.07,0.2712673919541495,0.7857142857142857,0.9,0.9464285714285714
0.08,0.28050983494945936,0.7642857142857142,0.8857142857142857,0.9357142857142857
0.09,0.2893281089408057,0.7607142857142857,0.8928571428571429,0.9571428571428572
0.1,0.3008368299475738,0.7678571428571429,0.8928571428571429,0.9357142857142857
