beta,cos_dist,top1_acc,top3_acc
0.0,0.22611423752137594,0.75,0.9428571428571428
0.01,0.22933657509940011,0.7607142857142857,0.9464285714285714
0.02,0.2339802635567529,0.7607142857142857,0.95
0.03,0.2429648831486702,0.7678571428571429,0.9535714285714286
0.04,0.2476436547935009,0.7714285714285715,0.9535714285714286
0.05,0.25348900961024423,0.7714285714285715,0.9357142857142857
0.06,0.2622947548116956,0.8,0.9464285714285714
0.07,0.27233708926609584,0.7535714285714286,0.9392857142857143
0.08,0.2799563671861376,0.7892857142857143,0.9392857142857143
0.09,0.28943620451859065,0.7714285714285715,0.9357142857142857
0.1,0.3037075867610318,0.7214285714285714,0.8964285714285715
