alpha,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
0.05,0.29920915269425935,0.7,0.8642857142857143,0.9214285714285714
0.1,0.26886296612875804,0.7285714285714285,0.8785714285714286,0.9357142857142857
0.15000000000000002,0.2453868819134576,0.75,0.8857142857142857,0.9321428571428572
0.2,0.23292997969048365,0.7535714285714286,0.9,0.9464285714285714
0.25,0.2235261721270425,0.7821428571428571,0.9071428571428571,0.9464285714285714
0.30000000000000004,0.22278032302856446,0.7428571428571429,0.8928571428571429,0.9392857142857143
0.35000000000000003,0.22688570416399412,0.7428571428571429,0.8821428571428571,0.9285714285714286
0.4,0.23168101544891084,0.7392857142857143,0.8607142857142858,0.9214285714285714
0.45,0.23312258933271682,0.7392857142857143,0.8642857142857143,0.9285714285714286
0.5,0.2479688187795026,0.7107142857142857,0.8214285714285714,0.8928571428571429
