beta,cos_dist,top1_acc,top3_acc
0.0,0.22312790048973902,0.7678571428571429,0.9571428571428572
0.01,0.23028472300086703,0.7571428571428571,0.9428571428571428
0.02,0.23567678374903542,0.7678571428571429,0.9392857142857143
0.03,0.2407530547252723,0.7714285714285715,0.9464285714285714
0.04,0.2464166227195944,0.7714285714285715,0.95
0.05,0.25365053383367403,0.7821428571428571,0.9464285714285714
0.06,0.2642969135727201,0.7714285714285715,0.9464285714285714
0.07,0.26900357635957856,0.7571428571428571,0.9357142857142857
0.08,0.2810820862650871,0.75,0.9535714285714286
0.09,0.2894955652100699,0.7714285714285715,0.9607142857142857
0.1,0.3012545934745244,0.7392857142857143,0.9392857142857143
