context,cos_dist,top1_acc,top3_acc
1,0.20531942173838616,0.7428571428571429,0.925
2,0.23094615436026028,0.7607142857142857,0.9571428571428572
3,0.2323796365942274,0.7428571428571429,0.9428571428571428
4,0.23090716344969614,0.7535714285714286,0.9285714285714286
5,0.22803645453282764,0.7607142857142857,0.9321428571428572
6,0.22414007719073978,0.7357142857142858,0.9214285714285714
7,0.22125613668135236,0.7535714285714286,0.9357142857142857
8,0.21519435282264437,0.775,0.9321428571428572
9,0.21376230759280068,0.7642857142857142,0.9285714285714286
10,0.21274640113115312,0.7392857142857143,0.9357142857142857
