context,cos_dist,top1_acc,top3_acc
1,0.20571695257510458,0.7535714285714286,0.9285714285714286
2,0.23214328406112536,0.7607142857142857,0.9607142857142857
3,0.23142911004168645,0.75,0.9428571428571428
4,0.23065478993313654,0.7571428571428571,0.9392857142857143
5,0.22941345466034754,0.75,0.9357142857142857
6,0.224553330881255,0.7321428571428571,0.925
7,0.21971686397280013,0.7678571428571429,0.9357142857142857
8,0.21675671402897154,0.7714285714285715,0.9321428571428572
9,0.21294184029102325,0.7571428571428571,0.9321428571428572
10,0.21290661181722367,0.7392857142857143,0.9321428571428572
