alpha,cos_dist,top1_acc,top3_acc
0.0,0.19718666970729828,0.7928571428571428,0.9178571428571428
0.05,0.31912487021514346,0.6392857142857142,0.8857142857142857
0.1,0.276512860506773,0.7071428571428572,0.9107142857142857
0.15000000000000002,0.24175522838320052,0.7357142857142858,0.9285714285714286
0.2,0.21604923733643122,0.7785714285714286,0.9357142857142857
0.25,0.2005006234560694,0.7857142857142857,0.9285714285714286
0.30000000000000004,0.19359730907848904,0.7857142857142857,0.9321428571428572
0.35000000000000003,0.1900526055267879,0.7892857142857143,0.9107142857142857
0.4,0.19708225045885358,0.7357142857142858,0.9107142857142857
0.45,0.19611353682620183,0.725,0.9178571428571428
0.5,0.20074360987969808,0.7035714285714286,0.8821428571428571
