beta,cos_dist,top1_acc,top3_acc
0.0,0.22800018404211317,0.7535714285714286,0.9321428571428572
0.01,0.22970227301120758,0.75,0.9428571428571428
0.02,0.23439419269561768,0.775,0.9464285714285714
0.03,0.23891299228583063,0.7535714285714286,0.95
0.04,0.24720329589077406,0.7678571428571429,0.9464285714285714
0.05,0.254746099455016,0.7714285714285715,0.9392857142857143
0.06,0.2619563775403159,0.7607142857142857,0.9464285714285714
0.07,0.27161660896880285,0.7392857142857143,0.95
0.08,0.28351859844156674,0.7357142857142858,0.9464285714285714
0.09,0.28928031006029675,0.7571428571428571,0.9321428571428572
0.1,0.29991091181124957,0.7678571428571429,0.9428571428571428
