context,cos_dist,top1_acc,top3_acc
1,0.20519892232758657,0.7607142857142857,0.9357142857142857
2,0.23049296428050314,0.75,0.9607142857142857
3,0.23242920424257005,0.7642857142857142,0.9428571428571428
4,0.23094126901456288,0.7642857142857142,0.9464285714285714
5,0.22940580653292791,0.75,0.9321428571428572
6,0.22327168775456294,0.7642857142857142,0.9321428571428572
7,0.21983055621385575,0.7642857142857142,0.9357142857142857
8,0.21723446547985076,0.7535714285714286,0.925
9,0.21433090737887792,0.7464285714285714,0.9214285714285714
10,0.2118924217564719,0.7642857142857142,0.9357142857142857
