context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.2048360954437937,0.7642857142857142,0.8642857142857143,0.925
2,0.2295325111065592,0.7642857142857142,0.9285714285714286,0.9607142857142857
3,0.23232276397092003,0.75,0.9035714285714286,0.9464285714285714
4,0.23007871040276118,0.7607142857142857,0.8821428571428571,0.9357142857142857
5,0.22989149136202677,0.7571428571428571,0.8964285714285715,0.9321428571428572
6,0.22427173661334174,0.7464285714285714,0.8821428571428571,0.925
7,0.22102187616484506,0.75,0.8892857142857142,0.9392857142857143
8,0.2159232639840671,0.775,0.9035714285714286,0.9428571428571428
9,0.21260802618094854,0.7678571428571429,0.8928571428571429,0.9392857142857143
10,0.21181867867708207,0.7535714285714286,0.8892857142857142,0.9392857142857143
