beta,cos_dist,top1_acc,top3_acc
0.0,0.22339729006801332,0.7714285714285715,0.9464285714285714
0.01,0.22958046517201833,0.7821428571428571,0.9464285714285714
0.02,0.23330837722335543,0.7892857142857143,0.9428571428571428
0.03,0.24141812728984016,0.7785714285714286,0.9428571428571428
0.04,0.24804206905620438,0.775,0.9392857142857143
0.05,0.2541374751499721,0.775,0.9464285714285714
0.06,0.2633528230445726,0.8,0.9392857142857143
0.07,0.2728038502590997,0.75,0.9321428571428572
0.08,0.27870088240930013,0.7607142857142857,0.9142857142857143
0.09,0.2902517618877547,0.7785714285714286,0.9464285714285714
0.1,0.3002742987658296,0.7535714285714286,0.9321428571428572
