context,cos_dist,top1_acc,top3_acc
1,0.20410155185631343,0.7571428571428571,0.9357142857142857
2,0.2315827988088131,0.7571428571428571,0.95
3,0.232248674758843,0.7392857142857143,0.9392857142857143
4,0.23205092230013438,0.7392857142857143,0.9357142857142857
5,0.22984882763453893,0.75,0.9214285714285714
6,0.22529528800930296,0.7464285714285714,0.9178571428571428
7,0.2194746847663607,0.75,0.9321428571428572
8,0.2165231962289129,0.7714285714285715,0.9321428571428572
9,0.21351916662284307,0.7607142857142857,0.9285714285714286
10,0.21133491226605006,0.7357142857142858,0.9392857142857143
