beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22576795177800316,0.7821428571428571,0.8857142857142857,0.9392857142857143
0.01,0.2297176229102271,0.7821428571428571,0.9178571428571428,0.9535714285714286
0.02,0.2335276890013899,0.7785714285714286,0.9214285714285714,0.9607142857142857
0.03,0.23981579606022155,0.7857142857142857,0.9178571428571428,0.9464285714285714
0.04,0.24809874349406788,0.7678571428571429,0.8928571428571429,0.9392857142857143
0.05,0.2529595369739192,0.7857142857142857,0.8892857142857142,0.9571428571428572
0.06,0.2592551639037473,0.7607142857142857,0.8928571428571429,0.95
0.07,0.2713786009166922,0.7321428571428571,0.8785714285714286,0.925
0.08,0.2800624676048756,0.775,0.9035714285714286,0.9392857142857143
0.09,0.29206967151590757,0.7571428571428571,0.8928571428571429,0.9357142857142857
0.1,0.2998348149870123,0.7535714285714286,0.8642857142857143,0.925
