context,cos_dist,top1_acc,top3_acc
1,0.20485383357320514,0.7535714285714286,0.9285714285714286
2,0.2306459851562977,0.7642857142857142,0.9571428571428572
3,0.23173190163714544,0.7535714285714286,0.9392857142857143
4,0.23047480668340412,0.7607142857142857,0.9285714285714286
5,0.22902401451553617,0.7392857142857143,0.9321428571428572
6,0.22396755388804845,0.7607142857142857,0.9321428571428572
7,0.22074000452245984,0.7535714285714286,0.9321428571428572
8,0.21532575871263232,0.7785714285714286,0.9357142857142857
9,0.2132095319884164,0.7642857142857142,0.9357142857142857
10,0.2110893698675292,0.775,0.9392857142857143
